│ (index) │ handSize │         slow         │         quick          │        average        │
├─────────┼──────────┼──────────────────────┼────────────────────────┼───────────────────────┤
│    0    │    4     │ 0.015371299982070923 │ 0.00018729996681213378 │ 0.0007376899997393288 │
│    1    │    5     │ 0.015235300064086915 │ 0.0008382999897003174  │ 0.0020244666655858355 │
│    2    │    6     │ 0.009060500025749206 │ 0.005516299962997437   │ 0.006181516655286152  │
│    3    │    7     │ 0.046327800035476686 │ 0.03074239993095398    │ 0.033624136666456854  │
│    4    │    8     │ 0.3343295999765396   │ 0.263574599981308      │ 0.2896106633385022    │
|    5    |    9     | 3.2685676000118256   │ 2.9996687000989914     │ 3.1225284699916838    │
│    1    │    10    │ 33.561315099954605   │ 29.43992189991474      │ 30.589997489988804    │
│    1    │    11    │ 540.31144231277103   │ 530.2833111238172      │ 537.15966231749818    │
